"Ad group state","Ad group ID"
paused,27926131037
paused,27926131517
active,27926131637
active,27926132117
active,27926132717
active,27926133077
paused,27926133197
active,27926133437
active,27926133557
paused,27926133677
paused,27926134517
paused,27926134877
paused,27926135237
active,27926135597
paused,27926136197
active,27926136557
paused,27926137517
active,27926137637
active,27926133317
paused,27926134037
paused,27926137157
paused,27926133797
active,27926133917
active,27926135957
paused,27926136077
paused,27926137397
paused,27926138117
paused,27926137757
paused,27926138477
paused,27926110157
paused,27926107157
paused,27926107517
paused,27926107757
paused,27926109557
paused,27926110517
paused,27926110637
paused,27926110997
paused,27926111237
paused,27926111837
paused,27926113037
active,27926113637
active,27926113517
paused,27926113757
paused,27926114117
active,27926113277
paused,27926113997
paused,27926114957
paused,27926115677
paused,27926114357
paused,27926114837
paused,27926114477
paused,27926115437
paused,27926115797
paused,27926116157
active,27926139797
paused,27926140037
active,27926139437
active,27926139677
paused,27926140277
active,27926140397
paused,27926140637
active,27926140757
active,27926141237
paused,27926141357
paused,27926141477
paused,27926141597
paused,27926142677
paused,27926142917
paused,27926144957
paused,27926141717
paused,27926142557
paused,27926142797
active,27926143037
active,27926143397
paused,27926143637
paused,27926144357
paused,27926145317
paused,27926137037
active,27926137277
paused,27926137877
paused,27926137997
active,27926138357
paused,27926103197
paused,27926100677
active,27926101037
active,27926101877
paused,27926102597
active,27926102837
paused,27926103077
active,27926103317
active,27926103437
active,27926104037
active,27926103917
paused,27926104397
paused,27926104157
paused,27926104277
paused,27926104517
paused,27926105597
paused,27926105237
paused,27926104877
paused,27926104997
paused,27926105117
paused,27926105477
paused,27926105717
paused,27926106077
paused,27926105957
paused,27926107637
paused,27926107877
paused,27926107997
active,27926108117
paused,27926109197
paused,27926109437
paused,27926109797
paused,27926116517
paused,27926116997
paused,27926117117
paused,27926117717
paused,27926118197
paused,27926118437
paused,27926118797
active,27926115917
paused,27926116277
paused,27926118317
paused,27926118917
paused,27926116757
paused,27926117477
paused,27926118077
paused,27926118557
active,27926118677
paused,27926119517
paused,27926119157
paused,27926119397
active,27926120837
active,27926122277
active,27926122397
paused,27926119637
paused,27926111357
paused,27926111477
paused,27926111717
paused,27926112917
active,27926139557
active,27926138597
paused,27926139077
paused,27926139197
active,27926140157
paused,27926138837
paused,27926138957
paused,27926140877
paused,27926144477
paused,27926145677
active,27926141837
paused,27926142197
active,27926143277
paused,27926143757
paused,27926109917
active,27926110397
paused,27926110757
paused,27926111117
paused,27926111597
paused,27926112077
paused,27926112197
paused,27926112797
paused,27926108237
paused,27926108357
paused,27926108597
paused,27926108717
paused,27926109077
paused,27926100317
paused,27926099477
active,27926100797
paused,27926101277
paused,27926101517
paused,27926101637
paused,27926102117
active,27926102357
active,27926103557
paused,27926101757
active,27926102477
paused,27926101157
paused,27926102717
paused,27926114237
paused,27926113157
paused,27926113877
paused,27926114597
paused,27926114717
paused,27926115317
active,27926116877
paused,27926116397
active,27926117957
paused,27926116637
paused,27926117237
active,27926117837
paused,27926119277
paused,27926119037
active,27926119997
paused,27926103797
paused,27926104637
paused,27926105357
paused,27926106437
paused,27926106317
paused,27926106557
paused,27926106797
paused,27926107277
paused,27926108477
active,27926110877
active,27926111957
paused,27926106677
active,27926144837
paused,27926145077
paused,27926145917
paused,27926146037
active,27926146157
paused,27926146277
paused,27926143517
active,27926143997
paused,27926144717
paused,27926145197
paused,27926145437
paused,27926145797
paused,27926146397
paused,27926147237
paused,27926146637
paused,27926146997
paused,27926147717
paused,27926147837
paused,27926148317
paused,27926148437
paused,27926148077
paused,27926148197
paused,27926148557
paused,27926147957
paused,27926148797
paused,27926149277
paused,27926149757
paused,27926150357
paused,27926121917
paused,27926120237
paused,27926120357
active,27926121197
active,27926120477
paused,27926120597
paused,27926120957
active,27926121317
active,27926121677
paused,27926122997
paused,27926123117
active,27926123237
active,27926122517
active,27926122757
paused,27926124197
active,27926119877
paused,27926119757
paused,27926120117
active,27926120717
active,27926122037
active,27926122157
paused,27926122637
active,27926122877
paused,27926123477
paused,27926107037
paused,27926108837
paused,27926108957
active,27926112317
paused,27926106917
paused,27926107397
paused,27926109317
paused,27926110277
paused,27926088797
paused,27926089277
paused,27926088917
paused,27926089037
paused,27926089517
paused,27926089637
paused,27926090717
paused,27926089997
paused,27926090237
paused,27926090357
paused,27926091077
paused,27926091197
