"Ad group state","Ad group ID"
active,33458982492
active,33458982612
active,33458982852
active,33458983332
active,33458983452
active,33458983692
active,27120427452
active,27120428772
active,27120430452
active,27120427212
paused,27120427332
active,27120427932
active,27120428292
active,27120429252
active,27120429852
active,27120429972
active,27120430332
paused,27120426852
active,27120426972
active,27120428532
active,27120429372
active,27120429492
active,27469837452
active,27469840092
active,27469840812
active,27469842012
active,27469842252
active,27120420492
paused,27120420732
active,27120420252
active,27120429732
active,27120429612
active,27120428892
active,27120430572
active,27120428412
active,27469841412
active,33458979732
active,33458979972
active,33458980572
active,33458980932
active,33458981052
active,27120421452
active,27610159572
active,27469841292
active,27120421212
active,27469840332
paused,27469841652
active,27469842612
paused,27120427572
active,33458981172
active,27120420372
active,27120421332
paused,27120421572
paused,27469839852
active,33458982132
active,33458987772
active,33458988012
active,33458981652
paused,33458981772
active,27120427692
active,33458986932
active,33458987052
active,33458987292
active,33458980692
active,33458980812
active,33458985732
active,33458983212
active,27120424332
active,27120421092
active,27120430092
active,27469840452
active,33458985132
active,33458987532
active,33458987892
active,33458985252
active,33458984532
active,33458984772
active,33458986332
active,33458986812
active,27469839612
active,33458980332
active,33458981532
paused,33458981652
active,33458984172
paused,27120427812
active,33458984652
active,33458984892
active,27120428172
active,27120427092
active,27469839972
active,27469842492
active,33458981412
paused,33458982012
active,33458987412
active,33458985972
active,33458985612
active,33458984412
active,27120421692
active,27469842132
active,27469839372
active,27120430212
active,33458983572
active,33458986572
active,33458986692
active,33458985372
active,33458985012
active,33458983812
active,33458983932
paused,33458981892
active,33458980452
active,33458980092
active,33458979852
active,27469842372
active,27469840692
active,27120428652
active,27120420612
active,27469837572
active,27469837332
active,33458987652
active,33458987172
active,33458985492
active,33458984292
active,33458984052
paused,33458982252
active,33458986452
active,33458986092
active,33458986212
active,33458985852
active,33458983092
active,33458982732
active,33458982972
active,33458982372
active,27469841772
active,27469840572
paused,27469839732
active,27120420972
active,27469839492
active,33458981292
active,33458980212
paused,27469841052
active,27120421812
paused,27120420852
paused,27469840932
active,27469840212
active,27469841892
paused,27469841532
active,27120428052
active,29408374812
active,27469841172
