"Ad group state","Ad group ID"
active,28110370474
active,28110373354
active,28872122074
active,28872122314
active,28872122914
active,28872121594
active,28872121954
active,28872122674
active,28872122794
active,29034574354
active,29034574594
active,28110360754
paused,28110336754
paused,28110339274
paused,28110362554
paused,28110364234
active,28110367474
active,28110369034
paused,28110360154
paused,28110345394
paused,28110345154
paused,28110341194
paused,28110341914
paused,28110342154
paused,28110343954
paused,28110340834
paused,28110339514
paused,28110337714
active,28110321034
paused,28110321154
paused,28110322234
paused,28110335674
paused,28110311554
active,28110311914
paused,28110312514
paused,28110314314
active,28110315634
paused,28110315994
paused,28110316114
paused,28110316834
active,28110317554
active,28110320674
active,28110311194
active,28110310354
active,28110310114
paused,28110309274
active,28110360274
paused,28110361714
paused,28110317914
paused,28110307474
paused,28110307714
paused,28110307834
active,28110317434
paused,28110317674
active,28110319594
paused,28110319834
active,28110321274
paused,28110322114
paused,28110317314
active,28110317074
active,28110317194
active,28110316474
active,28110312274
paused,28110312634
paused,28110312754
paused,28110313114
paused,28110313234
paused,28110313594
paused,28110313714
active,28110313954
paused,28110314074
active,28110314434
paused,28110314794
active,28110314914
paused,28110315034
active,28110315154
paused,28110315274
active,28110315514
paused,28110312154
active,28110315874
paused,28110316234
paused,28110315754
active,28110315394
paused,28110359314
active,29034573874
active,29034574234
active,28872122434
active,28110378514
active,28110384034
paused,28110383554
active,28110378274
active,28110371674
active,28110377434
paused,28110344794
paused,28110344434
active,28110368674
active,28110367234
active,28110368074
active,28110368314
active,28110368914
active,28110367834
active,28110366994
paused,28110363034
active,28110362794
paused,28110342274
paused,28110342634
paused,28110343594
active,28110345874
paused,28110347194
active,28110341554
paused,28110341074
paused,28110341314
paused,28110341434
active,28110337834
paused,28110337954
paused,28110338314
paused,28110338554
paused,28110339154
active,28110339754
paused,28110340114
paused,28110340234
paused,28110340594
paused,28110310474
paused,28110310594
paused,28110311314
paused,28110311434
paused,28110311794
paused,28110327154
paused,28110353794
paused,28110355354
paused,28110358834
paused,28110328834
paused,28110314674
paused,28110336874
paused,28110309394
paused,28110309874
paused,28110309034
active,28110319474
paused,28110308794
active,28110381274
active,28110371794
active,28110377554
active,28872123034
active,28872121834
active,29034573994
active,28110333034
active,28110380554
active,28110380674
active,28110365434
active,28110365674
active,28110366154
paused,28110334474
paused,28110334594
active,28110322474
active,28110370594
active,28110381514
active,28110371434
active,28110372874
active,28110375034
active,28110377074
active,28110375994
paused,28110302314
active,28110332314
active,28110332434
active,28110332674
active,28110333154
paused,28110333634
paused,28110302674
paused,28110303154
paused,28110304714
active,28110305074
paused,28110305314
active,28110305434
active,28110361474
active,28110367714
active,28110368554
active,28110367354
active,28110367594
active,28110369874
paused,28110299074
paused,28110299554
paused,28110319354
paused,28110319114
active,28110318874
active,28110321754
active,28110314554
paused,28110365194
paused,28110364834
paused,28110364474
paused,28110362434
paused,28110362674
paused,28110362314
paused,28110361954
paused,28110329794
paused,28110329554
paused,28110358594
paused,28110358954
paused,28110359194
paused,28110359434
paused,28110347554
paused,28110347794
paused,28110347914
paused,28110348034
paused,28110328354
paused,28110328714
paused,28110329074
paused,28110329314
paused,28110329434
paused,28110358114
paused,28110357994
paused,28110357874
paused,28110357154
paused,28110357754
paused,28110354394
active,28110323914
paused,28110324034
paused,28110324154
active,28110325594
paused,28110327634
paused,28110349234
paused,28110349474
paused,28110349594
active,28110350074
active,28110350674
active,28110350794
paused,28110351154
paused,28110352234
active,28110353194
paused,28110297754
paused,28110347314
active,28110345994
paused,28110303754
active,28872122554
active,29034574114
active,29034574474
active,28110309994
paused,28110303514
active,28872121714
active,28110373474
active,28110381394
active,28110381634
active,28419987754
active,28419987874
paused,28110324274
active,28110324394
paused,28110324634
active,28110325114
paused,28110325474
paused,28110325714
paused,28110325834
active,28110326074
active,28110326434
paused,28110327034
paused,28110327274
paused,28110327394
paused,28110327514
paused,28110328234
paused,28110354274
paused,28110377674
active,28110383914
active,28110322834
active,28110322954
paused,28110323194
paused,28110323314
paused,28110322354
active,28110366634
paused,28110305794
active,28110306034
active,28110306274
active,28110306754
active,28110365554
paused,28110305194
paused,28110303994
paused,28110303034
paused,28110302914
active,28110334114
paused,28110302794
active,28110333514
paused,28110350554
paused,28110350914
paused,28110351274
paused,28110351394
active,28110351634
paused,28110351754
active,28110351874
paused,28110351994
paused,28110352474
paused,28110352834
paused,28110352954
active,28110353074
paused,28110353434
paused,28110353554
active,28110366034
active,28110366394
paused,28110297034
paused,28110297154
paused,28110297274
paused,28110297514
paused,28110298474
paused,28110299434
paused,28110299674
paused,28110299914
paused,28110300394
paused,28110301114
paused,28110301234
paused,28110301354
paused,28110301474
active,28110302434
paused,28110327994
paused,28110328114
paused,28110328474
paused,28110328594
paused,28110328954
paused,28110329194
paused,28110329674
paused,28110330034
paused,28110330154
paused,28110330274
paused,28110330394
active,28110330874
active,28110331594
active,28110331714
active,28110331834
paused,28110331954
active,28110332074
paused,28110332554
paused,28110332794
active,28110332914
active,28110333394
active,28110350314
paused,28110350194
paused,28110349954
paused,28110349114
paused,28110348994
paused,28110327874
active,28110326914
paused,28110327754
paused,28110326794
paused,28110326674
paused,28110323434
paused,28110323554
active,28110323674
paused,28110323794
active,28110324514
active,28110324754
paused,28110324874
paused,28110324994
active,28110325234
active,28110325354
active,28110325954
active,28110326194
paused,28110326314
paused,28110346834
paused,28110347074
paused,28110347434
active,28110375754
paused,28110346354
paused,28110346474
active,28110372034
active,28110377794
active,28110369274
active,28110369754
active,28110369154
active,28110368794
active,28110366874
paused,28110319714
paused,28110319234
paused,28110318994
paused,28110318754
active,28110318154
paused,28110318274
paused,28110318514
active,28110318034
paused,28110317794
paused,28110365314
paused,28110323074
paused,28110364714
paused,28110365074
paused,28110364354
paused,28110364114
active,28110363994
paused,28110363874
paused,28110363754
paused,28110363634
paused,28110363514
paused,28110363394
paused,28110363274
paused,28110363154
paused,28110362914
paused,28110361594
paused,28110361834
paused,28110362074
active,28110311674
paused,28110312034
paused,28110312394
paused,28110312874
active,28110312994
paused,28110313354
paused,28110313474
active,28110313834
active,28110314194
paused,28110361354
active,28110311074
active,28110310954
paused,28110310834
active,28110310714
active,28110321994
active,28110321874
paused,28110321634
paused,28110321514
active,28110320314
paused,28110320794
active,28110320914
paused,28110360994
paused,28110361114
paused,28110310234
active,28110320074
active,28110360634
paused,28110357034
paused,28110357274
paused,28110357394
paused,28110357514
paused,28110357634
paused,28110358234
paused,28110358474
paused,28110358714
active,28110359554
paused,28110359674
active,28110359794
active,28110359914
paused,28110360034
paused,28110360394
paused,28110360514
paused,28110356674
paused,28110356554
paused,28110356434
paused,28110356314
paused,28110356074
paused,28110355954
active,28110355594
active,28110355474
paused,28110355234
paused,28110355114
paused,28110354994
paused,28110335314
paused,28110334954
active,28110334234
active,28110333994
paused,28110333874
paused,28110345634
paused,28110345514
paused,28110345034
paused,28110344914
paused,28110343234
paused,28110343354
active,28110343474
paused,28110343714
active,28110343834
active,28110344074
paused,28110344194
paused,28110344314
paused,28110344554
paused,28110342514
paused,28110342394
paused,28110342034
paused,28110339994
paused,28110340354
paused,28110340474
paused,28110340954
paused,28110341674
paused,28110341794
paused,28110338674
paused,28110338794
paused,28110338914
paused,28110339034
paused,28110339394
paused,28110339634
paused,28110336514
paused,28110336634
paused,28110336994
paused,28110337114
paused,28110337234
paused,28110337474
paused,28110337594
paused,28110338074
paused,28110336274
paused,28110336154
paused,28110335194
paused,28110335434
paused,28110335554
paused,28110335794
active,28110308314
paused,28110306634
paused,28110306874
paused,28110306994
paused,28110307114
paused,28110307234
paused,28110307354
paused,28110307594
paused,28110307954
paused,28110308074
paused,28110308194
paused,28110306514
paused,28110306154
active,28110305914
paused,28110305674
paused,28110304354
paused,28110304474
paused,28110304594
paused,28110304834
paused,28110304954
paused,28110305554
paused,28110304234
paused,28110354154
paused,28110354514
paused,28110354634
paused,28110354754
paused,28110353914
active,28110348394
paused,28110348274
paused,28110348154
paused,28110303394
paused,28110303634
paused,28110303274
paused,28110302554
paused,28110302194
paused,28110299314
paused,28110299794
paused,28110300034
paused,28110300154
paused,28110300274
paused,28110300514
paused,28110300634
paused,28110300754
paused,28110300874
paused,28110300994
paused,28110301594
paused,28110301714
paused,28110301834
paused,28110301954
paused,28110299194
paused,28110298954
paused,28110298594
paused,28110298714
paused,28110298354
paused,28110298234
paused,28110298114
paused,28110297394
paused,28110297634
paused,28110297874
paused,28110297994
paused,28110334834
paused,28110334714
paused,28110333274
paused,28110332194
active,28110331354
active,28110330514
active,28110330634
paused,28110330754
active,28110330994
paused,28110331114
paused,28110331234
paused,28110342874
paused,28110356914
active,28110369514
paused,28110344674
paused,28110335914
active,28110309154
active,28110308434
paused,28110316714
paused,28110316594
paused,28110316354
paused,28110359074
active,28872121474
paused,28110345754
paused,28110345274
active,28110361234
paused,28110340714
paused,28110337354
active,28110372154
active,28110381154
active,28110366754
paused,28110364954
paused,28110329914
paused,28110358354
paused,28110356794
paused,28110356194
active,28110355714
paused,28110346954
paused,28110346714
paused,28110346234
paused,28110346114
active,28872122194
paused,28110322714
paused,28110322594
paused,28110334354
paused,28110303874
active,28110333754
paused,28110348634
paused,28110326554
paused,28110346594
active,28110371914
active,28110370354
active,28110382954
active,28110381874
active,28110381754
active,28110380434
active,28110377194
active,28110374914
active,28110370234
active,28110369394
active,28110368194
paused,28110364594
active,28110362194
paused,28110321394
active,28110320194
paused,28110355834
paused,28110343114
paused,28110342994
paused,28110342754
paused,28110339874
paused,28110338434
paused,28110338194
paused,28110336394
paused,28110336034
paused,28110335074
active,28110309754
active,28110309634
active,28110309514
active,28110308914
active,28110308674
paused,28110308554
active,28110306394
paused,28110354874
paused,28110354034
paused,28110353674
active,28110353314
paused,28110352714
paused,28110352594
paused,28110352354
paused,28110352114
active,28110351514
paused,28110351034
active,28110350434
paused,28110349834
paused,28110349714
paused,28110349354
active,28110348874
active,28110348754
paused,28110348514
paused,28110304114
paused,28110302074
paused,28110298834
active,28110331474
