"Ad group state","Ad group ID"
paused,30305438917
paused,30305438797
paused,30305437597
paused,30305437717
paused,30305438197
paused,30305438317
paused,30305438437
paused,30305433637
active,30305434117
active,30305434717
paused,30305435197
paused,30305435917
paused,30305436277
paused,30305436397
paused,30305436757
paused,30305436877
paused,30305436997
paused,30305435677
paused,30305435797
paused,30305436037
active,30305436517
paused,30305437117
active,30305433037
active,30305433517
paused,30305382397
paused,30305432557
paused,30305432677
paused,30305432797
paused,30305433157
active,30305433277
active,30305433397
paused,30305433877
paused,30305419357
paused,30305419477
paused,30305397397
paused,30305397637
paused,30305379157
paused,30305419237
paused,30305418997
paused,30305418877
paused,30305418517
paused,30305418637
paused,30305417557
paused,30305417917
paused,30305416717
paused,30305414917
paused,30305415037
paused,30305415397
paused,30305415637
paused,30305415877
paused,30305416597
paused,30305412637
paused,30305412877
paused,30305414317
paused,30305414437
paused,30305406757
paused,30305406877
paused,30305407477
paused,30305407717
paused,30305412277
paused,30305406517
paused,30305388757
paused,30305388997
paused,30305389237
paused,30305389357
paused,30305390077
paused,30305384797
paused,30305385037
paused,30305385157
paused,30305432197
paused,30305432317
paused,30305432437
paused,30305383237
paused,30305383957
paused,30305384557
paused,30305379757
paused,30305380477
paused,30305381557
paused,30305382157
paused,30305382757
paused,30305379397
paused,30305379517
paused,30305397517
paused,30305397757
paused,30305377117
paused,30305377357
paused,30305377957
paused,30305378197
paused,30305378677
paused,30305378797
paused,30305407837
paused,30305412757
paused,30305412997
paused,30305413117
paused,30305413477
paused,30305413597
paused,30305413837
paused,30305413957
paused,30305414077
paused,30305414197
paused,30305414557
paused,30305415157
paused,30305415277
paused,30305415517
paused,30305415757
paused,30305416357
paused,30305416837
paused,30305417077
paused,30305417197
paused,30305417437
paused,30305417677
paused,30305418037
paused,30305418277
paused,30305418397
paused,30305418757
paused,30305397277
paused,30305407237
paused,30305407357
paused,30305407597
paused,30305388877
paused,30305389117
paused,30305389477
paused,30305389837
paused,30305387197
active,30305387437
paused,30305387557
paused,30305387677
paused,30305387797
paused,30305388517
paused,30305388637
paused,30305387917
paused,30305388277
paused,30305388397
paused,30305384197
paused,30305384437
active,30305386477
paused,30305387077
paused,30305384677
paused,30305384917
paused,30305385277
paused,30305385517
paused,30305385997
paused,30305386117
paused,30305386597
paused,30305386837
active,30305379277
paused,30305379997
paused,30305380357
paused,30305381077
paused,30305381317
paused,30305381677
paused,30305382037
active,30305382277
paused,30305382877
paused,30305383597
paused,30305383717
paused,30305383837
paused,30305384077
paused,30305379037
